tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night,index_100_by_day_by_trips
2021-02-18 00:00:00-05:00,2021-02-18,Thursday,35413,403742.01000000007,450195.8500000001,11.44,9.0,29.0,1.64,9.5,2.7483915511252928,11.400954734137184,4.1482279806417,180.5 / 201.0,424.0 / 357.67,2260.33 / 2177.33,2312.67 / 2315.5,2360.0 / 2362.67,1136.4 / 1204.6,617.4891020052311
2021-02-19 00:00:00-05:00,2021-02-19,Friday,49416,554093.5199999999,621070.42,11.74,9.0,27.0,1.67,8.99449999999997,2.7067900509997567,11.212836328314717,4.142395714286034,153.25 / 207.25,442.67 / 377.67,2396.67 / 2306.0,3217.17 / 3184.0,3747.0 / 3734.0,1948.2 / 2046.0,861.6564952048823
2021-02-20 00:00:00-05:00,2021-02-20,Saturday,48160,547784.14,600165.8300000001,12.26,9.0,27.0,1.72,9.0,2.772395705712565,11.374255398671096,4.10291514644191,436.0 / 505.5,310.0 / 280.33,1192.33 / 1122.67,3274.33 / 3203.67,3619.33 / 3625.0,2281.0 / 2366.4,839.7558849171752
2021-02-21 00:00:00-05:00,2021-02-21,Sunday,34642,422370.97,463426.29000000004,13.22,9.0,28.0,1.8,11.29,3.135889892895291,12.192453380289821,3.887367295587876,572.0 / 600.0,188.0 / 170.33,857.0 / 806.0,2563.0 / 2507.17,2677.67 / 2715.33,1161.6 / 1224.8,604.0453356582389
2021-02-22 00:00:00-05:00,2021-02-22,Monday,47318,565229.88,624433.9700000001,10.91,10.0,31.0,1.67,9.981999999999971,2.83027114990384,11.945345957141045,4.220371489537661,138.0 / 158.5,509.33 / 436.0,2809.33 / 2664.33,3626.67 / 3610.83,3137.0 / 3238.0,1127.8 / 1200.8,825.074106364429
2021-02-23 00:00:00-05:00,2021-02-23,Tuesday,53396,632470.3,697554.1900000001,10.61,10.0,31.0,1.69,9.06,2.727606659924336,11.844900367068695,4.342740207553593,110.0 / 142.75,507.0 / 432.67,2900.33 / 2753.33,3900.67 / 3864.5,3854.67 / 3940.0,1553.2 / 1652.0,931.0549258936355
2021-02-24 00:00:00-05:00,2021-02-24,Wednesday,55847,664551.87,726253.6000000001,10.48,10.0,33.0,1.7,8.8,2.6970274141851847,11.89950883664297,4.4120830118584475,145.0 / 169.0,535.67 / 457.0,2861.67 / 2723.33,3896.17 / 3845.33,4135.67 / 4170.0,1858.2 / 2009.6,973.792502179599
2021-02-25 00:00:00-05:00,2021-02-25,Thursday,57899,699973.28,771281.6400000001,10.28,11.0,34.0,1.7,9.05,2.73326879566141,12.089557332596419,4.42311321586318,166.25 / 200.75,518.33 / 439.0,2967.0 / 2800.33,4018.5 / 3972.17,4271.33 / 4299.33,1970.6 / 2129.4,1009.5727986050567
2021-02-26 00:00:00-05:00,2021-02-26,Friday,60496,724094.26,781707.3300000002,10.5,10.0,34.0,1.7,8.83,2.7294784692949827,11.969291523406506,4.3852607800387595,185.25 / 245.25,520.67 / 445.33,2760.33 / 2633.0,3979.0 / 3903.67,4398.33 / 4403.33,2568.6 / 2729.6,1054.8561464690497
2021-02-27 00:00:00-05:00,2021-02-27,Saturday,45915,529426.91,586142.19,12.42,9.0,28.0,1.75,9.4,2.831656429691584,11.530587171948167,4.072094640083666,447.25 / 519.75,278.33 / 242.0,1267.0 / 1192.67,3023.17 / 2962.0,3294.67 / 3307.33,2293.4 / 2367.6,800.610287707062
2021-02-28 00:00:00-05:00,2021-02-28,Sunday,35193,432800.77999999997,472982.88000000006,13.14,9.0,30.0,1.77,12.1,3.1757461923164354,12.297922314096553,3.8725301033197757,563.75 / 593.25,185.67 / 167.0,848.67 / 786.0,2777.33 / 2722.33,2457.67 / 2510.67,1159.6 / 1219.0,613.6530078465563
2021-03-01 00:00:00-05:00,2021-03-01,Monday,50997,610654.46,679058.54,11.45,9.0,31.0,1.7,10.19,2.8768797678112685,11.974321234582426,4.162484229333926,147.0 / 173.75,516.67 / 422.67,2960.33 / 2832.67,3601.0 / 3574.83,3710.33 / 3784.67,1448.2 / 1546.6,100.0
2021-03-02 00:00:00-05:00,2021-03-02,Tuesday,57818,667879.42,741868.76,10.81,10.0,30.0,1.66,8.7,2.6596497569918878,11.551409941540697,4.3432681853378226,136.25 / 159.5,551.0 / 460.67,3176.33 / 3038.33,4098.0 / 4044.5,4305.33 / 4397.0,1717.4 / 1845.0,113.37529658607369
